date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:41:55	90/90	---MCZ	200	added ('OK')	text/plain	date:Fri,%2012%20Apr%202019%2017:41:55%20GMT	https://ubmc-stoats.webs.com/robots.txt		(from )
18:41:56	33228/33228	---MCZ	200	added ('OK')	text/html	date:Fri,%2012%20Apr%202019%2017:41:56%20GMT	https://ubmc-stoats.webs.com/	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/ubmc-stoats.webs.com/index.html	(from )
18:41:56	3948/3948	---M-Z	200	added ('OK')	application/javascript	etag:%22f6c-586014c6f38c0-gzip%22	https://static.websimages.com/active-static/lib/modernizr-old.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/static.websimages.com/active-static/lib/modernizr-old.js	(from https://ubmc-stoats.webs.com/)
18:41:56	13698/13698	---M-Z	200	added ('OK')	application/javascript	etag:%223582-586014c6f38c0-gzip%22	https://static.websimages.com/static/global/js/require.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/static.websimages.com/static/global/js/require.js	(from https://ubmc-stoats.webs.com/)
18:41:57	5312/5312	---M-Z	200	added ('OK')	application/javascript	etag:%2214c0-58601570b4940-gzip%22	https://static.websimages.com/active-static/target/apps/bootstrap.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/static.websimages.com/active-static/target/apps/bootstrap.js	(from https://ubmc-stoats.webs.com/)
18:41:57	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2012%20Apr%202019%2017:41:57%20GMT	http://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/ubmc-stoats.webs.com/.theme.41cf1.delayed	(from https://ubmc-stoats.webs.com/)
18:41:59	53255/53255	---M-Z	200	added ('OK')	text/css	etag:%22d007-5860157579480-gzip%22	https://static.websimages.com/v1513720/static/projects/finch/css/sitebase.css	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/static.websimages.com/v1513720/static/projects/finch/css/sitebase.css	(from https://ubmc-stoats.webs.com/)
18:41:59	154779/154779	---MCZ	200	added ('OK')	text/css	date:Fri,%2012%20Apr%202019%2017:41:58%20GMT	https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/ubmc-stoats.webs.com/.theme1cf1.css	(from https://ubmc-stoats.webs.com/)
18:41:59	762/762	---MC-	200	added ('OK')	text/javascript	date:Fri,%2012%20Apr%202019%2017:41:59%20GMT	https://www.google.com/recaptcha/api.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/www.google.com/recaptcha/api.js	(from https://ubmc-stoats.webs.com/)
18:42:01	93636/93636	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	C:/Users/Tom/Documents/uni/first%20year/ubmc/ftr-backup/HTTrack/webs%20copy/ajax.googleapis.com/ajax/libs/jquery/1.8/jquery.min.js	(from https://ubmc-stoats.webs.com/)
