HTTrack3.49-2+htsswf+htsjava launched on Fri, 12 Apr 2019 18:41:54 at https://ubmc-stoats.webs.com/ +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar
(winhttrack -qwC2%Ps2u1%s%uN0%I0p3DaK0H0%kf2A25000%f#f -F "Mozilla/4.5 (compatible; HTTrack 3.0x; Windows 98)" -%F "<!-- Mirrored from %s%s by HTTrack Website Copier/3.x [XR&CO'2014], %s -->" -%l "en, *" https://ubmc-stoats.webs.com/ -O1 "C:\Users\Tom\Documents\uni\first year\ubmc\ftr-backup\HTTrack\webs copy" +*.png +*.gif +*.jpg +*.jpeg +*.css +*.js -ad.doubleclick.net/* -mime:application/foobar )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

18:47:09	Warning: 	Link https://ubmc-stoats.webs.com/cdn-cgi/l/email-protection not scanned (follow robots meta tag)
18:47:09	Error: 	"Not Found" (404) at link https://static.websimages.com/rails-static/webstore/images/paypal_24.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/u_shadow.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/papershade.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/tape.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/album-noise.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/album-binder.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/thumbtack.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/images/frames/photo-corners.png (from https://ubmc-stoats.webs.com/.theme.css?pubDate=190409205925)
18:47:09	Warning: 	Retry after error -4 (Incorrect length (506971 Bytes, 675794 expected)) at link https://ubmc-stoats.webs.com/stanage 2017.pdf (from https://ubmc-stoats.webs.com/about-the-club)
18:47:09	Error: 	"Not Found" (404) at link https://ubmc-stoats.webs.com/TripReport_scotland.pdf (from https://ubmc-stoats.webs.com/about-the-club)
